127.0.0.1, 2013-06-19 09:47:56, POST, /admin/default/edit/tsweb/modules/transcriptstudio.py, HTTP/1.1, 200, 0.297000
127.0.0.1, 2013-06-19 09:48:05, GET, /admin/default/edit/tsweb/controllers/default.py, HTTP/1.1, 200, 0.969000
127.0.0.1, 2013-06-19 09:48:06, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.125000
127.0.0.1, 2013-06-19 09:48:16, GET, /tsweb/default/testcase, HTTP/1.1, 500, 4.656000
127.0.0.1, 2013-06-19 09:48:19, GET, /admin/default/ticket/tsweb/127.0.0.1.2013-06-19.09-48-12.40dc5e23-6c0d-4638-ade0-960bdc4fb8ec, HTTP/1.1, 200, 0.485000
127.0.0.1, 2013-06-19 09:48:26, GET, /admin/default/edit/tsweb/controllers/default.py, HTTP/1.1, 200, 0.562000
127.0.0.1, 2013-06-19 09:48:27, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.063000
127.0.0.1, 2013-06-19 09:50:02, POST, /admin/default/edit/tsweb/controllers/default.py, HTTP/1.1, 200, 0.234000
127.0.0.1, 2013-06-19 09:50:10, GET, /tsweb/default/testcase, HTTP/1.1, 200, 3.187000
127.0.0.1, 2013-06-19 09:50:10, GET, /tsweb/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-19 09:50:20, POST, /tsweb/default/testcase, HTTP/1.1, 500, 2.343000
127.0.0.1, 2013-06-19 09:50:23, GET, /admin/default/ticket/tsweb/127.0.0.1.2013-06-19.09-50-18.66b2edd8-0286-4957-aeb8-522c567b39fc, HTTP/1.1, 200, 0.437000
127.0.0.1, 2013-06-19 09:50:53, POST, /admin/default/edit/tsweb/controllers/default.py, HTTP/1.1, 200, 0.172000
127.0.0.1, 2013-06-19 09:50:59, GET, /tsweb/default/testcase, HTTP/1.1, 200, 3.141000
127.0.0.1, 2013-06-19 09:51:04, POST, /tsweb/default/testcase, HTTP/1.1, 500, 0.687000
127.0.0.1, 2013-06-19 09:51:06, GET, /admin/default/ticket/tsweb/127.0.0.1.2013-06-19.09-51-04.b333290e-648b-4bec-a2cc-77b9d192ccf4, HTTP/1.1, 200, 0.375000
